-1.147,0.316227766
-1.095,0.319153786
-1.046,0.328095293
-1.024,0.329609712
-0.954,0.348337315
-0.947,0.353997341
-0.856,0.387257645
-0.85,0.396278034
-0.763,0.441570447
-0.756,0.45289758
-0.674,0.508159443
-0.668,0.521194711
-0.593,0.584790084
-0.587,0.599791076
-0.519,0.666806769
-0.514,0.683911647
-0.455,0.749894209
-0.451,0.765596607
-0.401,0.827942164
-0.397,0.843334758
-0.358,0.897428795
-0.355,0.909913273
-0.326,0.950604794
-0.324,0.959400632
-0.307,0.986279486
-0.306,0.990831945
-0.3,1
