input,output
1.00E-06,0.00E+00
1.01E-06,2.59E-04
1.11E-06,2.98E-03
1.22E-06,6.21E-03
1.34E-06,1.00E-02
1.48E-06,1.46E-02
1.63E-06,1.99E-02
1.79E-06,2.64E-02
1.97E-06,3.40E-02
2.17E-06,4.31E-02
2.38E-06,5.40E-02
2.62E-06,6.70E-02
2.88E-06,8.26E-02
3.17E-06,1.01E-01
3.49E-06,1.24E-01
3.84E-06,1.50E-01
4.22E-06,1.83E-01
4.64E-06,2.21E-01
5.11E-06,2.68E-01
5.62E-06,3.24E-01
6.18E-06,3.91E-01
6.79E-06,4.72E-01
7.47E-06,5.70E-01
8.22E-06,6.87E-01
9.04E-06,8.29E-01
9.95E-06,1.00E+00
